name,salary_from,salary_to,salary_currency,area_name,published_at
Техник по учету и содержанию техники,30000.0,32000.0,RUR,Вологда,2022-12-02T10:37:55+0300
Специалист в отдел информационной безопасности,50000.0,55000.0,RUR,Омск,2022-12-02T07:36:50+0300
Специалист технической поддержки (ИС),,45000.0,RUR,Екатеринбург,2022-12-02T09:19:30+0300
Специалист по планированию производства,60000.0,,RUR,Екатеринбург,2022-12-02T09:42:04+0300
Digital Marketing Designer,,,,Минск,2022-12-02T09:09:58+0300
Механик,50000.0,60000.0,RUR,Казань,2022-12-02T09:01:28+0300
Графический дизайнер / 3D дизайнер,80000.0,120000.0,RUR,Зеленоград,2022-12-02T09:56:39+0300
Аналитик данных,150000.0,,RUR,Новосибирск,2022-12-02T10:39:20+0300
Дизайнер корпусной мебели,200000.0,600000.0,KZT,Караганда,2022-12-02T08:50:53+0300
Руководитель ИТ-проектов,,,,Нижний Новгород,2022-12-02T11:49:38+0300
Системный администратор / эникей,40000.0,55000.0,RUR,Иркутск,2022-12-02T10:25:48+0300
Backend разработчик игровых серверов,,,,Минск,2022-12-02T11:46:43+0300
Менеджер IT-проектов,,,,Иркутск,2022-12-02T09:17:38+0300
Инженер-программист в области цифровой обработки звуковых сигналов/Инженер-акустик,,,,Санкт-Петербург,2022-12-02T11:50:13+0300
Директор Департамента дорожного хозяйства и благоустройства,178000.0,,RUR,Южно-Сахалинск,2022-12-02T09:09:01+0300
Разработчик (программист) 1С ERP,200000.0,,RUR,Домодедово,2022-12-02T11:09:33+0300
Оператор-наладчик линии розлива,55000.0,,RUR,Мытищи,2022-12-02T10:45:35+0300
Тестировщик,,,,Архангельск,2022-12-02T10:05:26+0300
Администратор в планово-экономический отдел (строительство),80000.0,,RUR,Москва,2022-12-02T11:41:41+0300
Web-разработчик,900.0,1600.0,USD,Астана,2022-12-02T10:40:38+0300
Computer Vision Engineer (Стажер),,,,Екатеринбург,2022-12-02T10:44:00+0300
Менеджер по обработке заказов,30000.0,,RUR,Барнаул,2022-12-02T10:23:27+0300
"Backend-программист, удалённо (PHP 7, Mysql, Vue)",70000.0,,RUR,Москва,2022-12-02T11:32:06+0300
Оператор станка с ЧПУ,100000.0,,RUR,Омск,2022-12-02T07:28:42+0300
Сервисный инженер,45000.0,,RUR,Ярославль,2022-12-02T07:37:16+0300
Оператор производственных линий,40000.0,,RUR,Иваново (Ивановская область),2022-12-02T09:02:45+0300
Линейный механик (карьерная техника),80000.0,80000.0,RUR,Прокопьевск,2022-12-02T08:16:02+0300
Web-разработчик,900.0,1600.0,USD,Караганда,2022-12-02T10:40:38+0300
Web-программист,150000.0,250000.0,KZT,Алматы,2022-12-02T08:23:41+0300
Начинающий специалист по сервисному обслуживанию банковского оборудования,75000.0,,RUR,Мытищи,2022-12-02T08:43:03+0300
Специалист по тестированию ПО (QA),,,,Пермь,2022-12-02T08:48:26+0300
Технический менеджер в команду по работе с молодежью.,,,,Москва,2022-12-02T11:24:31+0300
Junior Data Scientist (Стажер),,,,Омск,2022-12-02T09:26:22+0300
Системный аналитик,100000.0,130000.0,RUR,Москва,2022-12-02T08:50:25+0300
Инженер по настройке и обслуживанию радиоэлектронного оборудования,25000.0,,RUR,Ставрополь,2022-12-02T08:12:43+0300
Редактор подготовки эфира (Выпуск ТК СТС),,,,Москва,2022-12-02T11:57:51+0300
Слесарь по обслуживанию систем вентиляции и кондиционирования,65000.0,,RUR,Москва,2022-12-02T08:34:19+0300
"Product Manager в аккредитованную IT компанию (mobile, web)",200000.0,300000.0,RUR,Москва,2022-12-02T11:27:27+0300
Графический дизайнер,55000.0,,RUR,Ярославль,2022-12-02T09:33:39+0300
Инженер по настройке активного оборудования,52000.0,,RUR,Красноярск,2022-12-02T08:58:11+0300
Системный администратор,1200.0,,BYR,Витебск,2022-12-02T09:51:56+0300
Специалист по чертежам на интерьеры,50000.0,,RUR,Екатеринбург,2022-12-02T09:30:41+0300
Оператор станков с ЧПУ,60000.0,,RUR,Нижний Новгород,2022-12-02T07:42:07+0300
Руководитель транспортной службы,90000.0,90000.0,RUR,Челябинск,2022-12-02T10:26:21+0300
Программист 1С,,,,Санкт-Петербург,2022-12-02T09:12:20+0300
Project Manager,,,,Ташкент,2022-12-02T09:24:51+0300
Фрезеровщик,115000.0,,RUR,Екатеринбург,2022-12-02T08:51:34+0300
Ведущий системный аналитик,250000.0,,RUR,Москва,2022-12-02T11:00:16+0300
Инженер-программист,1000.0,,BYR,Минск,2022-12-02T11:06:36+0300
"Разработчик Frontend (VueJS), Middle",135000.0,170000.0,RUR,Калининград,2022-12-02T09:07:47+0300
Специалист технической поддержки,65000.0,,RUR,Одинцово,2022-12-02T11:40:05+0300
Ученик фрезеровщика (стажер),36000.0,,RUR,Тула,2022-12-02T10:03:01+0300
Интегратор CRM систем/ Системный аналитик,,100000.0,RUR,Москва,2022-12-02T09:25:26+0300
Оператор станка с ЧПУ,100000.0,,RUR,Тольятти,2022-12-02T07:28:42+0300
Помощник системного администратора,35000.0,40000.0,RUR,Красноярск,2022-12-02T07:42:45+0300
Рабочий по комплексному обслуживанию зданий,35000.0,40000.0,RUR,Мытищи,2022-12-02T10:01:35+0300
Middle Frontend разработчик,600.0,1000.0,USD,Бишкек,2022-12-02T06:03:54+0300
Руководитель проекта (Project manager),150000.0,300000.0,KZT,Алматы,2022-12-02T10:02:29+0300
Специалист по защите информации,30000.0,45000.0,RUR,Томск,2022-12-02T11:57:27+0300
Дизайнер,40000.0,,RUR,Новочеркасск,2022-12-02T08:20:35+0300
Менеджер (Аналитик),,,,Алматы,2022-12-02T09:55:03+0300
Оператор плазмы,70000.0,,RUR,Воскресенск,2022-12-02T10:12:01+0300
Администратор сайтов и информационно-коммуникационных систем,38000.0,45000.0,RUR,Екатеринбург,2022-12-02T09:10:42+0300
Системотехник/выездной сервисный инженер,,,,Саратов,2022-12-02T11:26:26+0300
Токарь (г. Воронеж),100000.0,,RUR,Воронеж,2022-12-02T10:35:16+0300
IT Service manager,,,,Москва,2022-12-02T10:03:34+0300
ИТ-менеджер,,,,Москва,2022-12-02T08:11:48+0300
Механик по транспорту,60000.0,,RUR,Красноярск,2022-12-02T11:04:06+0300
